iter	MultiClass
0	1.097379159
1	1.096371175
2	1.095042806
3	1.093810951
4	1.092463315
5	1.09170308
6	1.090505453
7	1.089540603
8	1.088738365
9	1.087538336
10	1.086006112
11	1.084802464
12	1.083636635
13	1.082680296
14	1.081731776
15	1.08098378
16	1.079605372
17	1.078753807
18	1.078160126
19	1.077163313
20	1.076201459
21	1.075391832
22	1.075362751
23	1.074412795
24	1.073855492
25	1.072790883
26	1.071658802
27	1.071149016
28	1.0705299
29	1.069722075
30	1.068647578
31	1.067742196
32	1.067475974
33	1.066370085
34	1.0655973
35	1.064447454
36	1.063636439
37	1.062666032
38	1.061908586
39	1.061109937
40	1.060380677
41	1.05937833
42	1.058806161
43	1.058238193
44	1.057866377
45	1.057179635
46	1.056376986
47	1.055832645
48	1.05516795
49	1.054513303
50	1.053570593
51	1.052535381
52	1.051187541
53	1.050478266
54	1.04966086
55	1.049239214
56	1.048728905
57	1.047990795
58	1.047141526
59	1.046277729
60	1.045799402
61	1.044950836
62	1.044245383
63	1.043276448
64	1.042433916
65	1.041608071
66	1.040742978
67	1.039778066
68	1.039409246
69	1.038607483
70	1.038154048
71	1.037315189
72	1.036614272
73	1.035838464
74	1.035240465
75	1.034569247
76	1.033582574
77	1.032974396
78	1.032482675
79	1.032411664
80	1.031732833
81	1.03120703
82	1.030630746
83	1.029718424
84	1.029163136
85	1.028693652
86	1.028168058
87	1.027241797
88	1.026487711
89	1.025808258
90	1.025432015
91	1.024487746
92	1.023867182
93	1.022848195
94	1.021848506
95	1.021006058
96	1.020227161
97	1.019626388
98	1.018865786
99	1.018091263
