iter	Passed	Remaining
0	1	190
1	3	179
2	5	173
3	7	170
4	8	167
5	10	164
6	12	164
7	13	160
8	15	158
9	17	154
10	18	152
11	20	149
12	22	147
13	23	145
14	25	145
15	27	143
16	29	142
17	30	140
18	32	137
19	33	135
20	35	132
21	36	131
22	37	126
23	39	126
24	41	124
25	43	123
26	44	121
27	46	119
28	48	118
29	50	116
30	51	115
31	53	113
32	55	112
33	57	111
34	59	110
35	61	108
36	62	106
37	64	104
38	65	102
39	67	101
40	69	99
41	70	97
42	72	95
43	73	94
44	75	92
45	77	90
46	78	89
47	80	87
48	82	85
49	84	84
50	86	82
51	88	81
52	90	79
53	91	78
54	93	76
55	94	74
56	96	72
57	98	71
58	99	69
59	101	67
60	103	66
61	104	64
62	106	62
63	107	60
64	109	58
65	111	57
66	112	55
67	114	53
68	115	52
69	117	50
70	119	48
71	120	46
72	122	45
73	124	43
74	126	42
75	127	40
76	129	38
77	130	36
78	132	35
79	134	33
80	137	32
81	138	30
82	140	28
83	142	27
84	143	25
85	145	23
86	147	22
87	149	20
88	150	18
89	152	16
90	154	15
91	155	13
92	157	11
93	159	10
94	160	8
95	162	6
96	164	5
97	165	3
98	167	1
99	169	0
